,STATE,VE_TOTAL,PVH_INVL,PEDS,PERNOTMVIT,PERMVIT,PERSONS,DAY_WEEK,ROUTE,MAN_COLL,RELJCT1,RELJCT2,WRK_ZONE,REL_ROAD,LGT_COND,WEATHER,FATALS,DRUNK_DR,HARM_EV_RED,HR_RANGE
1819,5,1,0,0,0,1,1,1,6,0,0,1,0,4,2,10,1,1,6,6
1820,5,2,0,0,0,2,2,2,2,1,0,1,0,1,1,1,1,0,1,3
1821,5,1,0,0,0,1,1,2,3,0,0,3,0,4,1,2,1,0,5,3
1822,5,1,0,0,0,1,1,2,6,0,0,1,0,4,1,2,1,0,6,5
1823,5,1,0,0,0,6,6,2,4,0,0,1,0,4,2,2,2,0,6,6
1824,5,2,0,0,0,2,2,4,3,0,0,1,0,4,1,1,1,0,6,5
1825,5,1,0,0,0,3,3,4,2,0,0,1,2,4,2,1,1,1,6,6
1826,5,1,0,0,0,1,1,5,3,0,0,1,0,4,2,5,1,0,0,2
1827,5,1,0,0,0,1,1,5,4,0,0,1,0,4,1,1,1,0,6,5
1828,5,1,0,1,1,1,1,6,1,0,0,1,0,1,2,1,1,0,3,1
1829,5,1,0,0,0,4,4,7,4,0,0,1,0,4,2,5,4,1,6,6
1830,5,2,0,0,0,3,3,1,3,2,0,1,0,1,2,1,2,2,1,1
1831,5,1,0,0,0,1,1,3,3,0,0,1,0,4,4,5,1,0,6,2
1832,5,1,0,0,0,1,1,3,1,0,0,1,0,4,1,10,1,0,1,3
1833,5,1,0,0,0,1,1,3,2,0,0,1,0,4,1,10,1,0,6,3
1834,5,2,0,0,0,4,4,3,3,6,0,2,0,1,1,1,1,0,1,4
1835,5,1,0,0,0,1,1,4,2,0,0,3,0,4,2,1,1,0,5,5
1836,5,2,0,0,0,3,3,5,3,2,0,1,0,1,1,1,1,0,1,4
1837,5,1,0,0,0,1,1,6,4,0,0,1,0,4,1,1,1,0,6,3
1838,5,1,0,1,1,1,1,6,1,0,0,1,0,1,3,1,1,0,3,6
1839,5,1,0,0,0,1,1,7,4,0,0,3,0,4,2,2,1,1,6,1
1840,5,1,0,0,0,2,2,2,3,0,0,1,0,4,2,1,1,0,6,1
1841,5,2,0,0,0,2,2,3,2,6,1,2,0,1,5,1,1,1,1,5
1842,5,1,0,0,0,1,1,3,3,0,0,1,0,4,2,1,1,1,1,6
1843,5,1,0,0,0,1,1,4,5,0,0,1,0,4,2,1,1,1,5,1
1844,5,2,0,0,0,2,2,4,1,6,0,7,0,1,1,1,1,0,1,2
1845,5,3,0,0,0,4,4,5,1,2,0,1,0,1,1,1,1,1,1,4
1846,5,1,0,1,1,1,1,6,2,0,1,3,0,1,1,1,1,0,3,2
1847,5,1,0,0,0,1,1,6,3,0,0,1,0,4,1,1,1,0,6,3
1848,5,1,0,0,0,1,1,6,6,0,0,1,0,4,1,1,1,0,6,3
1849,5,2,0,0,0,5,5,1,2,6,0,2,0,1,1,2,1,0,1,4
1850,5,1,0,1,1,1,1,2,2,0,0,2,0,1,3,2,1,0,3,5
1851,5,3,0,0,0,4,4,3,3,6,0,1,0,1,1,2,1,1,1,2
1852,5,2,0,0,0,6,6,4,2,6,0,2,0,1,2,1,1,0,1,6
1853,5,2,0,0,0,2,2,5,2,6,0,2,0,1,3,1,1,0,1,5
1854,5,2,0,0,0,3,3,7,1,6,1,5,0,1,1,1,1,0,1,3
1855,5,1,0,0,0,1,1,7,6,0,0,1,0,4,1,1,1,1,6,4
1856,5,1,0,1,1,1,1,7,3,0,0,1,0,1,3,1,1,1,3,5
1857,5,1,0,0,0,2,2,1,1,0,0,1,0,4,3,1,2,1,5,1
1858,5,2,0,1,1,2,2,2,3,0,0,3,0,1,3,1,1,0,3,5
1859,5,1,0,0,0,1,1,2,3,0,0,1,0,1,2,1,1,0,4,6
1860,5,1,0,0,0,1,1,2,2,0,0,1,0,4,2,1,1,1,6,6
1861,5,3,0,0,0,4,4,4,2,8,0,1,0,1,1,1,1,0,1,3
1862,5,1,0,0,0,2,2,4,6,0,0,1,0,4,3,1,1,1,6,1
1863,5,1,0,0,0,1,1,4,3,0,0,1,0,4,1,10,1,0,6,4
1864,5,1,0,0,0,1,1,4,3,0,0,1,0,4,2,1,1,1,0,5
1865,5,2,0,0,0,3,3,5,1,2,0,1,0,1,2,1,1,1,1,5
1866,5,1,0,0,0,1,1,6,3,0,0,1,0,4,2,2,1,1,6,1
1867,5,1,0,0,0,1,1,6,4,0,0,1,0,4,2,2,1,1,1,1
1868,5,2,0,0,0,2,2,2,2,6,0,1,0,1,1,2,1,0,1,3
1869,5,2,1,1,1,1,1,2,4,0,0,1,0,1,2,2,1,1,3,5
1870,5,1,0,1,1,1,1,3,2,0,0,1,0,1,2,1,1,0,3,5
1871,5,1,0,0,0,1,1,4,3,0,0,1,0,4,1,1,1,0,5,4
1872,5,2,0,0,0,2,2,5,3,2,0,1,0,1,1,1,1,0,1,3
1873,5,3,0,0,0,7,7,5,1,1,0,1,0,1,1,1,2,0,1,3
1874,5,1,0,0,0,2,2,6,2,0,0,1,0,4,2,1,2,0,5,1
1875,5,2,0,0,0,3,3,6,2,6,0,3,0,1,1,1,1,0,1,4
1876,5,2,0,0,0,2,2,7,4,2,0,1,0,1,2,1,1,0,1,5
1877,5,1,0,0,0,1,1,2,6,0,0,1,0,4,3,1,1,0,5,2
1878,5,1,0,0,0,1,1,3,6,0,0,1,0,5,2,1,1,0,6,6
1879,5,2,0,0,0,2,2,4,2,2,0,1,0,1,1,10,1,0,1,2
1880,5,1,0,0,0,1,1,5,3,0,0,1,0,4,2,1,1,1,0,1
1881,5,1,0,0,0,1,1,6,1,0,0,1,0,1,2,1,1,0,0,5
1882,5,2,0,0,0,2,2,1,3,8,0,1,0,1,1,2,1,1,1,4
1883,5,2,0,0,0,4,4,1,2,8,0,1,0,1,1,2,1,0,1,4
1884,5,2,0,0,0,2,2,2,2,6,0,1,0,1,1,1,1,0,1,3
1885,5,1,0,0,0,7,7,2,4,0,0,1,0,4,1,1,1,0,1,5
1886,5,3,0,0,0,4,4,3,2,1,0,8,0,1,1,1,2,0,1,4
1887,5,1,0,0,0,1,1,4,4,0,0,1,0,4,2,1,1,0,5,6
1888,5,1,0,0,0,1,1,6,1,0,0,1,0,4,1,1,1,0,6,3
1889,5,2,0,0,0,3,3,2,3,6,0,1,0,1,1,1,2,0,1,3
1890,5,6,0,1,1,8,8,2,1,1,0,1,0,1,2,5,2,0,1,6
1891,5,1,0,1,1,2,2,2,1,0,0,1,0,1,2,5,1,0,3,6
1892,5,1,0,0,0,1,1,7,1,0,0,1,0,3,2,2,1,1,5,2
1893,5,1,0,1,1,2,2,7,1,0,0,1,0,1,2,10,1,0,3,5
